item_orgid	item_procid
0972683275	0
1400532655	1
140053271X	2
9983891212	3
B00000J061	4
B00000J1EQ	5
B00000J1SC	6
B00000J1TX	7
B00000J1UQ	8
B00000J1V5	9
B00000JDF5	10
B00000JDF6	11
B00000JI4F	12
B00000K135	13
B00000K13A	14
B00000K13L	15
B00000K2YR	16
B00000K4KH	17
B00001P4XA	18
B00001P4XH	19
B00001P4ZH	20
B00001P4ZR	21
B00001P505	22
B00001W0DH	23
B00001W0DI	24
B00001WRSJ	25
B00001ZWXA	26
B000023VW2	27
B00002EQCW	28
B00002NDRQ	29
B00003006E	30
B00003CWDG	31
B00003CWDH	32
B00003G1RG	33
B00004SABB	34
B00004SB92	35
B00004SQET	36
B00004SY4H	37
B00004T8R2	38
B00004THCZ	39
B00004TS16	40
B00004TVSP	41
B00004TWM6	42
B00004VUGJ	43
B00004VX3T	44
B00004W3ZQ	45
B00004WCFT	46
B00004WCFY	47
B00004WCGC	48
B00004WCGF	49
B00004WCIC	50
B00004WCID	51
B00004XOM3	52
B00004YZQ8	53
B00004Z0BO	54
B00004Z0C7	55
B00004Z5D1	56
B00004Z5H3	57
B00004Z5LZ	58
B00004Z5M1	59
B00004Z5PY	60
B00004Z5QU	61
B00004Z5VS	62
B00004ZC8Y	63
B00004ZC9V	64
B00004ZCA5	65
B00004ZCAT	66
B00004ZCDD	67
B00004ZCJE	68
B00004ZCKV	69
B000050AQ7	70
B00005108H	71
B0000510ZO	72
B00005114Z	73
B00005115S	74
B0000511U7	75
B00005125T	76
B000051299	77
B0000513O4	78
B000053HBB	79
B000053HC5	80
B000053HH5	81
B000056SSM	82
B00005853Z	83
B000058AKE	84
B000058BCQ	85
B00005A1K1	86
B00005ABC5	87
B00005ARK3	88
B00005ATMB	89
B00005ATMI	90
B00005AW1H	91
B00005BC0J	92
B00005K47X	93
B00005LB8P	94
B00005LE6Z	95
B00005LE75	96
B00005LE76	97
B00005LEN4	98
B00005LENO	99
B00005LEOH	100
B00005ML7Q	101
B00005N6KG	102
B00005NCWK	103
B00005NIMJ	104
B00005NIMR	105
B00005NPWJ	106
B00005QBUU	107
B00005T39Y	108
B00005T3BD	109
B00005T3C8	110
B00005T3EM	111
B00005T3G0	112
B00005T3GH	113
B00005T3H5	114
B00005T3N3	115
B00005T3Q2	116
B00005T3W5	117
B00005T406	118
B00005TQ08	119
B00005U21H	120
B00005V51P	121
B00005Y3OM	122
B000062VUO	123
B00006343O	124
B00006346W	125
B000063TJY	126
B0000642RX	127
B0000645RH	128
B000065BP9	129
B000065BPB	130
B000065UDU	131
B0000665V6	132
B0000668YX	133
B000066CCU	134
B000066E6Y	135
B000066R6M	136
B000067O5G	137
B000067O7T	138
B000067RBT	139
B000067RC1	140
B000067RC4	141
B000067RT6	142
B000067RVL	143
B000067S60	144
B000067SG2	145
B000067SGI	146
B000067SMH	147
B000067SOH	148
B000067SOL	149
B000067VBL	150
B000067VBM	151
B000068NYF	152
B000068O16	153
B000068O1A	154
B000068O33	155
B000068O34	156
B000068O3C	157
B000068O3S	158
B000068O3T	159
B000068O40	160
B000068O6B	161
B000068OEO	162
B000068P8W	163
B000069EUW	164
B00006B7DA	165
B00006B7DB	166
B00006B7HB	167
B00006B81E	168
B00006B8BS	169
B00006B8K2	170
B00006B91Z	171
B00006B9CR	172
B00006BBAB	173
B00006BBAC	174
B00006FXR9	175
B00006HMPK	176
B00006HOAE	177
B00006HOAQ	178
B00006HOKR	179
B00006HOLO	180
B00006HQR8	181
B00006HSML	182
B00006HSYC	183
B00006HVLW	184
B00006HYKM	185
B00006HYPV	186
B00006I53D	187
B00006I53S	188
B00006I53W	189
B00006I53X	190
B00006I5FQ	191
B00006I5J7	192
B00006I5JC	193
B00006I5WJ	194
B00006I5XC	195
B00006IS4X	196
B00006IW1X	197
B00006JN3G	198
B00006JPDG	199
B00006JPDI	200
B00006JPEA	201
B00006JQ06	202
B00006JQ6C	203
B00006L4F1	204
B00006RH5I	205
B00006RVPW	206
B00006YZ3Y	207
B00007056H	208
B000075UZ7	209
B00007AP2O	210
B00007B4DM	211
B00007E7C8	212
B00007E7JU	213
B00007E7K1	214
B00007E7K9	215
B00007E7QS	216
B00007E816	217
B00007E89K	218
B00007EDM8	219
B00007EDYY	220
B00007EDZG	221
B00007FGU7	222
B00007FGUF	223
B00007GQLS	224
B00007GQLU	225
B00007IFED	226
B00007ISWA	227
B00007KDVI	228
B00007KDVJ	229
B00007KDVK	230
B00007LTBA	231
B00007M1TZ	232
B000083JZH	233
B000083KIH	234
B000086EYG	235
B000089GN2	236
B000089GN3	237
B00008AWKZ	238
B00008AWL2	239
B00008EM7U	240
B00008I9K8	241
B00008NG7N	242
B00008NJEP	243
B00008OE6F	244
B00008OE6I	245
B00008OT2G	246
B00008SCFL	247
B00008VF63	248
B00008VIX2	249
B00008W2LC	250
B00008W7LS	251
B00008Y0VN	252
B00008Y1BX	253
B00008Z1PT	254
B00008ZPED	255
B000092TT0	256
B000092YPR	257
B000092YQW	258
B000093UDQ	259
B000094Q77	260
B000095SB4	261
B000095SB6	262
B000096B01	263
B000097O5F	264
B00009EHJV	265
B00009KH63	266
B00009MDBQ	267
B00009MK5M	268
B00009R6AY	269
B00009R6FV	270
B00009R6GE	271
B00009R6JT	272
B00009R6K1	273
B00009R6K7	274
B00009R6KN	275
B00009R6N0	276
B00009R6TA	277
B00009R6UA	278
B00009R6UC	279
B00009R6UI	280
B00009R6UU	281
B00009R6V0	282
B00009R6VO	283
B00009R6VZ	284
B00009R6WL	285
B00009R6WO	286
B00009R6WT	287
B00009R6WU	288
B00009R6WW	289
B00009R6WY	290
B00009R72R	291
B00009R86L	292
B00009R896	293
B00009R89C	294
