item_orgid	item_procid
8932	0
8938	1
8947	2
8954	3
8956	4
8957	5
8958	6
8961	7
8964	8
8965	9
8972	10
8975	11
8976	12
8977	13
8982	14
8988	15
8989	16
8990	17
8995	18
8997	19
8998	20
9002	21
9005	22
9014	23
9026	24
9031	25
9032	26
9039	27
9042	28
9043	29
9056	30
9057	31
9060	32
9062	33
9063	34
9064	35
9065	36
9066	37
9068	38
9069	39
9070	40
9071	41
9073	42
9074	43
9076	44
9077	45
9078	46
9079	47
9080	48
9081	49
9082	50
9083	51
9084	52
9085	53
9087	54
9088	55
9090	56
9091	57
9092	58
9093	59
9094	60
9097	61
9098	62
9100	63
9107	64
9109	65
9113	66
9114	67
9115	68
9116	69
9117	70
9119	71
9120	72
9121	73
9122	74
9125	75
9126	76
9127	77
9128	78
9129	79
9130	80
9131	81
9132	82
9133	83
9134	84
9135	85
9136	86
9138	87
9139	88
9140	89
9141	90
9150	91
9152	92
9153	93
9157	94
9161	95
9162	96
9169	97
9171	98
9174	99
9175	100
9176	101
9181	102
9183	103
9184	104
9185	105
9186	106
9188	107
9189	108
9190	109
9191	110
9193	111
9194	112
9195	113
9196	114
9197	115
9207	116
9208	117
9210	118
9211	119
9212	120
9213	121
9215	122
9216	123
9217	124
9218	125
9219	126
9220	127
9221	128
9222	129
9223	130
9224	131
9225	132
9226	133
9227	134
9228	135
9229	136
9230	137
9231	138
9232	139
9233	140
9234	141
9235	142
9236	143
9237	144
9238	145
9239	146
9240	147
9241	148
9242	149
9243	150
9244	151
9245	152
9246	153
9247	154
9248	155
9249	156
9250	157
9251	158
9252	159
9253	160
9254	161
9256	162
9257	163
9258	164
9259	165
9260	166
9261	167
9262	168
9263	169
9264	170
9265	171
9266	172
9267	173
9268	174
9271	175
9275	176
9276	177
9281	178
9282	179
9287	180
9289	181
9290	182
9292	183
9294	184
9296	185
9297	186
9298	187
9299	188
9302	189
9303	190
9304	191
9305	192
9306	193
9308	194
9309	195
9310	196
9313	197
9314	198
9316	199
9318	200
9319	201
9320	202
9321	203
9323	204
9324	205
9326	206
9327	207
9328	208
9332	209
9333	210
9335	211
9337	212
9338	213
9339	214
9340	215
9344	216
9345	217
9346	218
9347	219
9348	220
9351	221
9352	222
9354	223
9355	224
9356	225
9357	226
9358	227
9359	228
9360	229
9361	230
9362	231
9363	232
9365	233
9368	234
9370	235
9371	236
9375	237
9376	238
9378	239
9379	240
9380	241
9381	242
9382	243
9383	244
9384	245
9385	246
9386	247
9387	248
9388	249
9389	250
9394	251
9395	252
9407	253
9408	254
9410	255
9411	256
9412	257
9413	258
9414	259
9416	260
9418	261
9419	262
9421	263
9422	264
9423	265
9424	266
9425	267
9426	268
9427	269
9428	270
9430	271
9432	272
9433	273
9436	274
9438	275
9441	276
9445	277
9446	278
9447	279
9448	280
9449	281
9451	282
9453	283
9456	284
9457	285
9459	286
9460	287
9461	288
9462	289
9463	290
9464	291
9467	292
9468	293
9469	294
9470	295
9471	296
9472	297
9474	298
9475	299
9480	300
9482	301
9490	302
9491	303
9493	304
9494	305
9501	306
9502	307
9503	308
9505	309
9506	310
9507	311
9508	312
9509	313
9510	314
9515	315
9518	316
9519	317
9521	318
9522	319
9523	320
9527	321
9528	322
9529	323
9537	324
9540	325
9542	326
9545	327
9546	328
9547	329
9551	330
9553	331
9557	332
9566	333
9569	334
9570	335
9571	336
9576	337
9578	338
9579	339
9580	340
9583	341
9590	342
9591	343
9593	344
9598	345
9605	346
9611	347
9615	348
9618	349
9619	350
9623	351
9625	352
9626	353
9627	354
9629	355
9631	356
9632	357
9633	358
9634	359
9637	360
9641	361
9642	362
9646	363
9651	364
9652	365
9653	366
9658	367
9666	368
9667	369
9668	370
9669	371
9670	372
9672	373
9676	374
9686	375
9689	376
9690	377
9691	378
9694	379
9696	380
9697	381
9698	382
9700	383
9702	384
9706	385
9707	386
9708	387
9719	388
9720	389
9722	390
9723	391
9724	392
9726	393
9727	394
9730	395
9734	396
9736	397
9738	398
9739	399
9741	400
9745	401
9756	402
9758	403
9761	404
9763	405
9768	406
9771	407
9773	408
9777	409
9778	410
9780	411
9781	412
9789	413
9796	414
9807	415
9816	416
9818	417
9828	418
9829	419
9831	420
9836	421
9838	422
9841	423
9842	424
9843	425
9844	426
9845	427
9846	428
9848	429
9850	430
9855	431
9857	432
9858	433
9860	434
9862	435
9863	436
9864	437
9865	438
9866	439
9867	440
9870	441
9871	442
9872	443
9873	444
9874	445
9875	446
9876	447
9877	448
9878	449
9880	450
9881	451
9883	452
9884	453
9888	454
9889	455
9891	456
9894	457
9896	458
9901	459
9903	460
9905	461
9906	462
9907	463
9918	464
9920	465
9921	466
9927	467
9928	468
9931	469
9937	470
9943	471
9945	472
9946	473
9948	474
9952	475
9954	476
9957	477
9960	478
9961	479
9962	480
9964	481
9965	482
9966	483
9967	484
9970	485
9972	486
9974	487
9980	488
9986	489
9987	490
9988	491
9989	492
9990	493
9992	494
9993	495
9995	496
9996	497
10001	498
10002	499
10003	500
10004	501
10006	502
10009	503
10016	504
10017	505
10019	506
10020	507
10023	508
10024	509
10027	510
10028	511
10029	512
10030	513
10032	514
10036	515
10037	516
10038	517
10039	518
10040	519
10051	520
10052	521
10053	522
10054	523
10056	524
10057	525
10058	526
10059	527
10060	528
10061	529
10062	530
10064	531
10066	532
10067	533
10069	534
10070	535
10071	536
10072	537
10073	538
10075	539
10076	540
10078	541
10080	542
10082	543
10085	544
10086	545
10087	546
10093	547
10097	548
10098	549
10099	550
10100	551
10102	552
10109	553
10110	554
10114	555
10115	556
10117	557
10118	558
10119	559
10120	560
10121	561
10122	562
10123	563
10124	564
10125	565
10126	566
10130	567
10131	568
10132	569
10135	570
10136	571
10137	572
10138	573
10139	574
10140	575
10141	576
10142	577
10143	578
10157	579
10158	580
10162	581
10163	582
10165	583
10166	584
10171	585
10176	586
10177	587
10178	588
10179	589
10181	590
10182	591
10184	592
10185	593
10186	594
10187	595
10190	596
10191	597
10192	598
10193	599
10194	600
10195	601
10199	602
10200	603
10201	604
10202	605
10203	606
10204	607
10216	608
10220	609
10222	610
10227	611
10239	612
10240	613
10241	614
10243	615
10244	616
10245	617
10250	618
10251	619
10253	620
10254	621
10255	622
10256	623
10257	624
10259	625
10260	626
10267	627
10272	628
10273	629
10274	630
10275	631
10276	632
10277	633
10278	634
10279	635
10280	636
10281	637
10283	638
10284	639
10285	640
10286	641
10287	642
10288	643
10289	644
10290	645
10293	646
10294	647
10295	648
10296	649
10297	650
10298	651
10299	652
10300	653
10301	654
10302	655
10305	656
10307	657
10309	658
10310	659
10311	660
10312	661
10313	662
10314	663
10317	664
10322	665
10327	666
10330	667
10331	668
10332	669
10333	670
10334	671
10335	672
